artist,title,
"All That Remains",Indictment",
"As I Lay Dying",Nothing Left",
"Avatar",Something In the Way",
"Blue Stahli",ULTRAnumb",
"Bobaflex",Six Feet Under",
"Crazy Town",Toxic",
"Death Grips",Black Paint",
"Deftones",CMND CTRL",
"Deftones",Elite",
"Deftones",Headup",
"Deftones",My Own Summer",
"Deftones",Passenger",
"Deftones",When Girls Telephone Boys",
"Disturbed",God Of The Mind",
"Drowning Pool",Let the Bodies Hit The Floor",
"Fear Factory",Descent (Junkie XL Falling Deeper Mix)",
"Fear Factory",Edgecrusher",
"Fear Factory",Genetic Blueprint (Junkie XL Remix)",
"Filter",So I Quit",
"Five Finger Death Punch",Hell To Pay",
"Five Finger Death Punch",Jekyll and Hyde",
"Force of Nature",Set It Off",
"Hatebreed",Looking Down The Barrel Of Today",
"Hed P.E.",Serpent Boy (Junkie XL Rock Da Beat Mix)",
"HW World Race OST",Dune Ratz",
"HW World Race OST",Results",
"HW World Race OST",Roadbeasts",
"HW World Race OST",Street Breed",
"In Flames",A Sense Of Purpose",
"In Flames",Take This Life",
"In Flames",The Mirror's Truth",
"In This Moment",Big Bad Wolf",
"KMFDM",A Drug Against War (Single Mix)",
"Korn",Freak on a Leash",
"Korn",Trash",
"Lamb Of God ft Chino Moreno",Embers",
"Leslie Wai",Doom REMIXED",
"Lunatic Calm",Leave You Far Behind",
"Lunatic Calm",The Sound",
"Marilyn Manson",Rock Is Dead",
"Marilyn Manson",The Beautiful People",
"Mastodon",Blood And Thunder",
"Mastodon",Tread Lightly",
"Megadeth",Kill The King",
"Melvins",Honey Bucket",
"Meshuggah",Bleed",
"Meshuggah",Dehumanization",
"Nine Inch Nails",Starfuckers Inc",
"Nonpoint",Bullet With a Name",
"Oltanis Orbit",Gemlik Base",
"OX",Bang",
"Professional Murder Music",Slow",
"Rammstein",Du Hast",
"Rammstein",Mein Teil",
"Rammstein",Sonne",
"Resurrection",Chimaira",
"Rob Zombie",17 Year Locust",
"Rob Zombie",American Witch",
"Rob Zombie",Behold, The Pretty Filthy Creatures",
"Rob Zombie",Call Of The Zombie",
"Rob Zombie",Cease to Exist",
"Rob Zombie",Demon Speeding",
"Rob Zombie",Demonoid Phenomenon",
"Rob Zombie",Dragula (Si Non Oscillas, Noli Tintinnare Mix)",
"Rob Zombie",Dragula",
"Rob Zombie",Electric Head, Part 1 (Satan In High Heels Mix)",
"Rob Zombie",Electric Head, Part 2 (The Ecstasy)",
"Rob Zombie",Feel So Numb",
"Rob Zombie",Grindhouse (A Go Go)",
"Rob Zombie",Hands Of Death (Burn Baby Burn feat Alice Cooper)",
"Rob Zombie",How To Make A Monster (Kitty's Purrrrformance Mix)",
"Rob Zombie",Iron Head",
"Rob Zombie",Let It All Bleed Out (Document One Remix)",
"Rob Zombie",Let It All Bleed Out",
"Rob Zombie",Living Dead Girl (Subliminal Seduction Mix)",
"Rob Zombie",Living Dead Girl",
"Rob Zombie",Lords Of Salem (Das Kaptial Remix)",
"Rob Zombie",Mars Needs Women (Griffin Boice Remix)",
"Rob Zombie",Meet The Creeper (Brute Man & Wonder Girl Mix)",
"Rob Zombie",Meet The Creeper (Pink Pussy Mix)",
"Rob Zombie",More Human Than Human (Big Black Delta Remix)",
"Rob Zombie",More Human Than Human Living Dead Girl (Jack Dangers Remix)",
"Rob Zombie",More Human Than Human",
"Rob Zombie",Pussy Liquor (Ki Theory Remix)",
"Rob Zombie",Sinners Inc",
"Rob Zombie",Spookshow Baby (Black Leather Cat Suit Mix)",
"Rob Zombie",Spookshow Baby",
"Rob Zombie",Superbeast (Girl On A Motorcycle Mix)",
"Rob Zombie",Superbeast (Kraddy Remix)",
"Rob Zombie",Superbeast (Porno Holocaust Mix)",
"Rob Zombie",Superbeast",
"Rob Zombie",Teenage Nosferatu Pussy",
"Rob Zombie",The Ballad Of Resurrection Joe And Rosa Whore (Ilsa She-Wolf Of Hollywood)",
"Rob Zombie",The Ballad Of Resurrection Joe And Rosa Whore",
"Rob Zombie",The Ballad Of Resurrection Joe",
"Rob Zombie",The Devil's Rejects",
"Rob Zombie",The Girl Who Loved The Monsters",
"Rob Zombie",The Great American Nightmare (Feat Howard Stern)",
"Rob Zombie",The Lords Of Salem",
"Rob Zombie",Trade In Your Guns For A Coffin",
"Rob Zombie",Werewolf, Baby",
"Rob Zombie",What Lurks On Channel X (XXX Mix)",
"Rob Zombie",What Lurks On Channel X",
"Rob Zombie",White Trash Freaks",
"Rom Di Prisco",Afterburn",
"Rom Di Prisco",Deploy And Assault",
"Slipknot",Before I Forget",
"Soulfly",Umbabarauma (Junkie XL World Cup Mix)",
"The Crystal Method",Weapons Of Mass Distortion",
"The Prodigy",Aluminium Jazz",
"The Prodigy",Black Smoke",
"The Prodigy",Destroy",
"The Prodigy",Fighter Beat",
"The Prodigy",Firestarter (Instrumental)",
"The Prodigy",Funky Shit",
"The Prodigy",Fuzz Fucking",
"The Prodigy",Junky's Cinder",
"The Prodigy",Run With The Wolves",
"The Prodigy",Shadow of the Devil",
"The Prodigy",Smack My Bitch Up",
"The Prodigy",Spitfire",
"The Prodigy",The Day Is My Enemy",
"Thy Art Is Murder",Reign of Darkness",
"Timothy Steven Clarke",Lush",
"Todd Masten",Aces High",
"Todd Masten",Catch That Train",
"Todd Masten",Crash Flight",
"Todd Masten",Gangland",
"Todd Masten",Hangar 18",
"Todd Masten",Heart Of Darkness",
"Todd Masten",In Darkest Night",
"Todd Masten",Rooftops By Night",
"Todd Masten",Smoke Screen",
"Todd Masten",Spidey Vs. Electro",
"Todd Masten",Spidey Vs. Lizard",
"Todd Masten",Spidey Vs. Shocker",
"Todd Masten",Warehouse 66",
"White Zombie",More Human Than Human",
"Whitechapel",The Saw Is the Law",
