artist,title,
"2 Mello",I Wanna Kno",
"Bx'treme",AGUA",
"Charodey Jeddy",State of Mind",
"Color Plus",Hair Dun Nails Dun",
"CYBERMILK",Condensed Milk",
"Doctor Lazer",Chromebies",
"Dom McLennon",Morning Glow (Ft. Nicholas Mangiafico)",
"Ethan Goldhammer",In The Pocket",
"GRRL",Operator",
"GRRL",Trinitron",
"Hideki Naganuma",DA PEOPLE",
"Hideki Naganuma",GET ENUF",
"Hideki Naganuma",JACK DA FUNK",
"kidkanevil",Big City Life ft OV (written by G. Roberts and P. Mukhi)",
"KiloWatts",Last Hoorah",
"KiloWatts",Scraped On The Way Out",
"KiloWatts",Two Days Off",
"Klaus Veen",Anime Break",
"Knxwledge",hwbouths",
"Legove",Plume",
"Leopard Davinci & Louis 707",Next To Me",
"Olli",Precious Thing",
"Proux",Funk Express (Extended Version)",
"Reso",Chuckin Up",
"Reso",Iridium",
"Reso",Spectres",
"Sebastian Knight",Feel The Funk (Computer Love)",
"SKALP",Bounce Upon A Time",
"SkyBlew",Light Switch (Prod. Navo The Maestro)",
"soia",you can say hi (prod. by mez)",
"Swami Sound",Refuse",
"wev",watchyaback!",
