
Artist,Title,Length,

"2 Mello","I Wanna Kno",252

"Bx'treme","AGUA",198

"Charodey Jeddy","State of Mind",173

"Color Plus","Hair Dun Nails Dun",280

"CYBERMILK","Condensed Milk",154

"Doctor Lazer","Chromebies",185

"Dom McLennon","Morning Glow (Ft. Nicholas Mangiafico)",235

"Ethan Goldhammer","In The Pocket",176

"GRRL","Operator",143

"GRRL","Trinitron",203

"Hideki Naganuma","DA PEOPLE",255

"Hideki Naganuma","GET ENUF",252

"Hideki Naganuma","JACK DA FUNK",249

"kidkanevil","Big City Life ft OV",180

"KiloWatts","Last Hoorah",303

"KiloWatts","Scraped On The Way Out",348

"KiloWatts","Two Days Off",373

"Klaus Veen","Anime Break",217

"Knxwledge","hwbouths",160

"Legove","Plume",192

"Leopard Davinci & Louis 707","Next To Me",230

"Olli","Precious Thing",201

"Proux","Funk Express (Extended Version)",184

"Reso","Chuckin Up",150

"Reso","Iridium",204

"Reso","Spectres",247

"Sebastian Knight","Feel The Funk (Computer Love)",180

"SKALP","Bounce Upon A Time",341

"SkyBlew","Light Switch (Prod. Navo The Maestro)",228

"soia","you can say hi (prod. by mez)",225

"Swami Sound","Refuse",198

"wev","watchyaback!",225
