
Artist,Title,Length,

"Highraiser","Dawsheeraque",208

"Highraiser","De Lovehazard",193

"Highraiser","Hip X Cool",183

"Highraiser","Humping Your Bassline (Ill Legal Menendezless Mix)",211

"Highraiser","Just Warming Up",193

"Highraiser","Meaveenna",243

"Highraiser","Ode To Music God (feat. Inkoutlines, MC Cruel Addict)",191

"Highraiser","Power O' Funk (feat. Texx, Chuchuback)",453

"Le Capitaine","Bass Knowledge",342

"Le Capitaine","Sneekboi (Kapit-N Edit)",259

"Le Capitaine","Strictly Electronic",189

"cazsu","On A Mission",215

"cazsu","The Drums Are Offkey (Add Some Funk to it)",200
