
Artist,Title,Length,

"Akira The Don","A Christmas Movie",226

"Akira The Don","Christmas Missed Us",375

"Akira The Don","Christmas Time Is Here Charlie Brown",270

"Akira The Don","HA SANTA",181

"Akira The Don","Have Yourself A Very Lofi Christmas",257

"Akira The Don","Lofi Ukulele Xmas",184

"Akira The Don","O Tannenbaum (Lofi Edit)",122

"Akira The Don","Xmas Bells 1919",214

"Andy Williams vs A Shrift","Its The Most Wonderful Time Of The Year",250

"Ariana Grande","Santa Tell Me (Alexa Remix)",242

"Berlin Symphony Orchestra","Dance Of The Sugar Plum Fairy (Red Baron Remix)",163

"Berlin Symphony Orchestra","The Nutcracker Suite (Baz Kuts Breaks Mix)",257

"Bif Naked","I Saw Mommy Kissing Santa Clause",175

"Billie Holliday","Ive Got My Love To Keep Me Warm (Yesking Remix)",330

"Billy May","Rudolph The Red Nosed Reindeer (Malibu Remix)",244

"Bing Crosby","Happy Holidays (Beef Wellington Remix)",198

"Bing Crosby","White Christmas (Kaskade Mix)",213

"Bing Crosby","Winter Wonderland (Bent Remix)",178

"Bob Rivers","Be Claus I Got High",207

"Bob Rivers","Ill Be Stoned For Christmas",147

"Bobby Helms","Jingle Bell Rock",130

"Brenda Lee","Rockin' Around The Christmas Tree",126

"Buck Rodgers","Rockin Around The Christmas Tree (Remix)",180

"Buck Rodgers","White Christmas (Remix)",123

"Burl Ives & Darnell Little","Holly Jolly Christmas (Remix)",250

"Busta Rhymes feat Jim Carrey","Grinch",215

"Celia Cruz","Jingle Bells (Tino Remix)",262

"Charles Brown","Merry Christmas Baby",221

"Chillaz","Clint Frostwood",160

"Chris Rea","Driving Home For Christmas",241

"Christmas Trap","Rudolph The Red Nosed Reindeer (Trap Remix)",161

"Chuck Berry","Run Rudolph Run",165

"City High","Oh Come All Ye Faithful",205

"Colossus","Charlie Brown Cut Up",124

"Cooking Soul","MF Grinch",122

"Cooking Soul","Naughty or Nutz (feat. MF DOOM)",135

"Cooking Soul","Smoke a lil Xmas Tree (feat. MF DOOM)",124

"Count Basie And His Orchestra","Good Morning Blues (The Real Tuesday Weld Clerkenwell Remix)",234

"Dean Martin","Baby It's Cold Outside",143

"Dean Martin","Let It Snow (DJ Nick D&B Remix)",132

"DJ Koollord","Jingle Bells (Hip Hop Remix)",95

"DJ Riko","Twas the Night Before The Goose Got Fat",217

"DJ Soundwave","A Charlie Brown Christmas (Remix)",282

"DMX","Rudolph The Red Nosed Reindeer",95

"Eazy E","Merry Muthafuckin Xmas",352

"Ella Fitzgerald","What Are You Doing New Years Eve (Mangini vs Pallin Remix)",203

"Etta James","Merry Christmas Baby",369

"Frank Sinatra","Let It Snow (JustFurKiks Remix)",230

"Gene Autry","Here Comes Santa Claus (Adam Counts Remix)",139

"Green Street","Christmas On Green Street",163

"Gwen Stefani","Jingle Bells",178

"Hanson","A Wonderful Christmas Time",192

"Hanson","All I Want For Christmas",210

"Hanson","Finally It's Christmas",226

"Hanson","Joy To The Mountain",161

