
Artist,Title,Length,

"B.B. Rights","Funky Radio",208

"Hideki Naganuma","Let Mom Sleep",173

"Hideki Naganuma","Humming the Bassline",176

"Deavid Soul","Yappie Feet",309

"Toronto","Electric Tooth Brush",257

"Hideki Naganuma","That's Enough",226

"Richard Jacques","Everybody Jump Around",250

"Deavid Soul","Dunny Boy Williamson Show",270

"Idol Taxi","O.K.!?House!!!!!?????",171

"Hideki Naganuma","Sneakman",233

"Mix Master Mike","Patrol Knob",99

"Jurassic 5","Improvise",211

"Reps","Bout the City",223

"Castle Logical","Mischievous Boy",135

"Feature Cast","Recipe for the Perfect Afro",250

"Hideki Naganuma","Sweet Soul Brother",176

"Hideki Naganuma","Rock It On",226

"Hideki Naganuma","Moody's Shuffle",78

"Guitar Vader","Super Brothers",180

"Hideki Naganuma","Grace & Glory",198

"Guitar Vader","Magical Girl",159

"F-Fields","Yellow Bream",196

"Hideki Naganuma","Jet Set Medley",409

"Deavid Soul","Miller Ball Breakers",331

"Deavid Soul","Up-Set Attack",217

"Deavid Soul","On the Bowl (A. Fargus mix)",332
