
Artist,Title,Length,

"7Horse","Meth Lab Zoso Sticker",221

"AC/DC","Back In Black",256

"AC/DC","Givin the Dog a Bone",212

"AC/DC","Have a Drink On Me",239

"AC/DC","Highway to Hell",209

"AC/DC","Rock and Roll Ain't Noise Pollution",254

"Aerosmith","Dude (Looks Like A Lady)",266

"Aerosmith","Eat the Rich",250

"Aerosmith","Fever",255

"Aerosmith","Rag Doll",266

"Aerosmith","Walk on Down",219

"Alice Cooper","Schools Out",211

"All Them Witches","When God Comes Back",216

"Alt J","Left Hand Free",174

"Arctic Monkeys","Do I Wanna Know",266

"Beck","20 Garbage Truck",109

"Billy Squier","The Stroke",218

"Black Sabbath","Paranoid",169

"Black Sabbath","War Pigs, Lukes Wall",474

"Blue Oyster Cult","Godzilla",220

"Blues Saraceno","7th Born Son",200

"Blues Saraceno","Bad Man",208

"Blues Saraceno","Evil Ways",209

"Blues Saraceno","Killin' Floor",179

"Blues Saraceno","Pumpin' Irony",156

"Blues Saraceno","Smokin' Fire",186

"Bon Jovi","Wanted Dead Or Alive",307

"Butter 08","Butterfucker",209

"Curtis Stigers","This Life",142

"Dan Auerbach","Keep It Hid",219

"Dan Auerbach","The Prowl",196

"DJ Schmolli","Rock Of Ages",307

"Dolph Taylor and Bart Hendrickson","Quaker Bait",207

"Eagles","Life In The Fast Lane",286

"Eminem","Berzerk (Instrumental)",224

"Foo Fighters","All My Life",264

"Funkadelic","Hit It and Quit It",232

"Funkadelic","Super Stupid",241

"Gary Clark Jr","Bright Lights",325

"Gary Clark Jr","Don't Owe You a Thang",212

"Gary Clark Jr","Numb",327

"Gary Glitter","Rock And Roll (Part 1 & 2)",346

"George Thorogood & The Destroyers","Bad To The Bone",297

"George Thorogood & The Destroyers","I Drink Alone",273

"George Thorogood & The Destroyers","One Bourbon, One Scotch, One Beer",507

"Graveyard BBQ","Made My Bones",314

"Graveyard BBQ","The Road That Lies Ahead",287

"Graveyard BBQ","Watch City Blues",317

"Hanni El Khatib","Pay No Mind",188

"Hugo","99 Problems",135

"Joe Bonamassa","Angel Of Mercy (Live At The Greek Theatre)",404

"Joe Walsh","Lifes Been Good",536

"Kenneth Sorenson","God Damn Better",209

"Kenneth Sorenson","S'Alright",253

"Left Lane Cruiser","Busket",199

"Louis XIV","Louis XIV",189

"Monster Magnet","Space Lord",270

"Motorhead","Ace Of Spades",171

"Motorhead","Killed By Death",278

"Mountain","Mississippi Queen",149

"Nick Nolan","Hell on Wheels",175

"Patrick Sweany","Them Shoes",349

"Priestess","Lay Down",189

"Ram Jam","Black Betty",239

"Rob Zombie","Dead City Radio And The New Gods Of Supertown",208

"Rob Zombie","Ging Gang Gong De Do Gong De Laga Raga",199

"Rob Zombie","Pussy Liquor (Tobias Enhus Remix)",295

"Rob Zombie","Rock And Roll (In A Black Hole)",254

"Rob Zombie","Thunder Kiss '65 (Destructo Remix)",266

"Spiderbait","Black Betty",206

"Stinky Lou and The Goon Mat with Lord Bernado","Lonely Man",234

"T Rex","Bang A Gong (Get It On)",267

"Ted Nugent","Stranglehold",504

"The Beautiful Girls","Girl Lately Things Have Been Changing",236

"The Black Keys","Aeroplane Blues",171

"The Black Keys","Grown So Ugly",148

"The Black Keys","Howlin' For You",192

"The Black Keys","I Got Mine",241

"The Black Keys","Lonely Boy",194

"The Blue News","Old River",271

"The Blue News","Promiseland",233

"The Blue News","Stay Gone for Good",155

"The Heavy","Short Change Hero",242

"The Heavy","What Makes A Good Man",227

"The Rolling Stones","Gimme Shelter",271

"The Silent Comedy","Bartholomew",188

"The White Stripes","Dead Leaves And The Dirty Ground",184

"The White Stripes","Hello Operator",157

"The White Stripes","Little Bird",187

"The White Stripes","Seven Nation Army",233

"The White Stripes","Stop Breaking Down",141

"Titanic Sinclair","Into the Flames",207

"ZZ Top","Gimme All Your Lovin",241

"ZZ Top","Got Me Under Pressure",240

"ZZ Top","La Grange",233

"ZZ Top","Sharp Dressed Man",253

"ZZ Top","Tush",137
