
Artist,Title,Length,

"A Tribe Called Quest","Electric Relaxation (Relax Yourself Girl)",228

"Aerobatic Funk","One Outs",84

"Aim","Just Passin' Through",378

"Aim","Let The Funk Ride",314

"Aim","Underground Crown Holders",219

"BadboE","Ease The Funk",371

"BadboE","My Bad (Danny Massure Remix)",297

"BadboE","My Bad (Omegaman Remix)",253

"BadboE","My Bad (Original Mix)",354

"Beat Fatigue","Bearded Dragon",230

"Blue Stahli","The Perfect Heist",140

"Cel Damage Music","Wild Wooly West",214

"Craig Mack","Flava In Ya Ear (Instrumental)",289

"David TV Band","Horny Old Man",175

"Diode","Good Morning Emotion",157

"DJ Food","Mr Quickie Cuts The Cheese",270

"DJ Format","We Know Something You Don't Know (feat. Charli 2na & Akil)",289

"DJ Frane","Hydroponic Jungle Throwdown",210

"EL-P","Lazerface Warning (RJD2 Remix)",267

"EZ Roller","It's Murder",407

"Fat Jon","Sins",107

"Fat Jon","Then",75

"Fdel","Get Live",238

"Fdel","Get Up On Ya Feet",262

"Featurecast","Recipe For The Perfect Afro",250

"Featurecast","Turn It Out",301

"Featurecast","Yum Yum",227

"Flamingosis","Auowww!!",122

"Flamingosis","Bad Jackson",145

"Flamingosis","Bob Saget Gets New Real Estate ft The Kount",170

"Flamingosis","Can't Seem To Shake It",188

"Flamingosis","Dreamer",176

"Flamingosis","Flight of the Flamingo",189

"Flamingosis","high tide (feat Stereocool)",253

"Flamingosis","It's Gonna Be OK",200

"Flamingosis","Jet Skis & Hennessy",181

"Flamingosis","L.A. Carnival",149

"Flamingosis","Last Stop",179

"Flamingosis","Long Time Comin'",181

"Flamingosis","not like the others",184

"Flamingosis","Raising Arizona",149

"Flamingosis","Real Deal ft Funkmammoth",176

"Flamingosis","Return of The Love Jones",176

"Flamingosis","Round N' Round",116

"Flamingosis","Seaside Heights ft Birocratic",172

"Flamingosis","Soul Crusade ft Engelwood",181

"Flamingosis","Today's Forcast Hot!",121

"Flamingosis","Toward The Mend",118

"Flamingosis","Tribute",197

"Flamingosis","Tumbao",182

"Flamingosis","Was It Something I Said",118

"Flamingosis","Worthwhile",131

"Flamingosis x Tokyo Megaplex","Bruncha Nova",114

"Force of Nature","Death Wish",165

"Fort Knox Five","The Brazilian Hipster",242

