
Artist,Title,Length,

"112","Dance With Me (Instrumental)",303

"A Skillz","Good Music",175

"A Skillz","Jump Around",149

"A Skillz, Stickybuds","Its The Music",261

"A Skillz, Dr Luke, Kraftykuts","Bring Back The Funk",194

"A Tribe Called Quest","Award Tour",226

"A Tribe Called Quest","Bonita Applebum",230

"A Tribe Called Quest","Can I Kick It",249

"A Tribe Called Quest","Check The Rhime",217

"A Tribe Called Quest","Electric Relaxation (Relax Yourself Girl)",228

"Aceyalone","All For U (RJD2 Mix)",208

"Aerobatic Funk","One Outs",84

"Ageless","Seven Breaths",245

"Aim","Just Passin' Through",378

"Aim","Underground Crown Holders",219

"Alien Army","Scratchoetry",227

"Apollo 440","Can't Stop The Rock",216

"Arrested Development","Man's Final Frontier",103

"ATCQ","Can I Kick It (Featurecast Remix)",198

"Atmosphere","The Number None",181

"B Visible","Sweat",205

"BadboE","Ease The Funk",371

"BadboE","Funk In The Air (Fort Knox Five Remix)",263

"BadboE","Green Power Funk",236

"BadboE","Hercules (Original Mix)",314

"BadboE","Hit It Maestro (feat. MC Rayna)",321

"BadboE","Make It Happen (Father Funk Remix)",241

"BadboE","Make It Happen (Original Mix)",283

"BadboE","Masterpiece",296

"BadboE","My Bad (Danny Massure Remix)",297

"BadboE","My Bad (Jayl Funk Remix)",264

"BadboE","My Bad (Omegaman Remix)",253

"BadboE","My Bad (Original Mix)",354

"BadboE","One Of Those Days (Pimpsoul Remix)",286

"BadboE","Rescue Me (BigM Remix)",346

"BadboE","Sound of Invasion (Original Mix)",303

"BadboE","What You Wanna Do (Funkanomics Remix)",341

"BadboE","Work It Out (feat. Michael DeVellis)",428

"BadboE","Work It Out (feat. Michael DeVellis)",428

"BadboE vs Prosper","Too Hot To Handle",293

"Bagjac","cut a break",217

"Bagjac","Hello Alison (Freek Remix)",202

"Mr Mediamix","Higher Plain of Funk",199

"Mr Mediamix","Look at the Funk",196

"Mr Mediamix","Menu Music",131

"Bart Baker & Slim Gaillard","Communication",248

"Basement Jaxx","Do Your Thing",257

"Fatboy Slim vs Batman","Bat Soul Brother",156

"Beastie Boys","Ch-Check It Out",193

"Beastie Boys","Flute Loop",115

"Beastie Boys","Hey Ladies (Fare Soldi Remix)",186

"Beastie Boys","Sabotage (Alex Metric Re-Edit)",286

"Beastie Boys","Sabotage",180

"Beastie Boys","So What Cha Want",218

"Beastie Boys","Sure Shot",200

"Beat Fatigue","Bearded Dragon",230

"Beat Fatigue","Funky Borderline",295

"Beat Fatigue","Whoopie Funkberg",256

"Beck","Go It Alone",249

"Bigger Than A Hiphoppapotamus","Hiphoppapotamus",245

"BlackDoe","Stampede",371

"Blue Stahli","The Perfect Heist",140

"Bobby C Sound TV","Roller Soul",288

"Bobby McFerrin","Don't Worry Be Happy (Father Funk Remix)",248

"Bonobo","Kong",238

"Boogalox","Chez Les Ye Ye",267

"BotanicSage","Super Ink Shooter",284

"Brian Witzig","Aint Right",208

"Brock Berrigan","Four Walls And An Amplifier",134

"Brothe Q","Fifth Member",165

"Brother Ali","Blah Blah Blah",261

"Butter 08","Shut Up",181

"C2C","Delta",224

"C2C","Down The Road (Detta Remix)",219

"C2C","Down the Road",206

"C2C","Happy (feat. Derek Martin)",235

"C2C","Mack The Knife (Louis Armstrong Remix)",125

"Cage The Elephant","Ain't No Rest For The Wicked (Schematic Remix)",267

"Cal Tjader","Large Professor Tjaz Remix",179

"Canosis","BreakaDisco",349

"Caravan Palace","Beatophone (Club Mix)",321

"Caravan Palace","Comics (Swing Thru)",245

"Caravan Palace","Comics",213

"Caravan Palace","The Dirty Side of the Street",217

"Cedric Menendez","City Theme",226

"Cedric Menendez","Night Ambiance",162

"Cee Roo","Give It Up",218

"Cel Damage Music","Wild Wooly West",214

"Chinese Man","Artichaut",264

"Cibo Matto","King of Silence (Dan the Automator Remix)",300

"Craig Mack","Flava In Ya Ear (Instrumental)",289

"Cut Chemist","A Peak in Time",292

"Cypress Hill","Insane In The Brain",213

"Cypress Hill","The Phunky Feel One (Extended)",297

"DANGERDOOM","Space Hos",210

"Danny Breaks","Moodulator",188

"Das EFX","Real Hip Hop",251

"David TV Band","Horny Old Man",175

"De La Funke","Shall We Go",101

"De La Soul","A Roller Skating Jam Named Saturdays",242

"Del the Funky Homosapien","Burnt",282

"Del the Funky Homosapien","Mistadobalina",258

"Deluxe","Breaking News (feat. A State Of Mind)",248

"Dephicit & Kotch","Bag It Up",315

"Dex Dubious","In Space",231

"Dexter Curtin & Timo Manson","Swing Dein Ding",357

"Digable Planets","Rebirth Of Slick (Cool Like Dat)",261

"Diode","Good Morning Emotion",157

"DJ Disse","Break On Through",379

"DJ Disse","Riders In The Storm",443

"DJ Food","Mr Quickie Cuts The Cheese",270

"DJ Format","The Turning Point",315

"DJ Format","We Know Something You Don't Know (feat. Charli 2na & Akil)",289

"DJ Frane","Hydroponic Jungle Throwdown",210

"DJ Hiphoppapotamus","Bigger Than A Hiphoppapotamus",245

"DJ Jeff","Change the Scratch",229

"DJ Kychu","Rock It Like This",185

"DJ Logic","Sheas Groove",248

"DJ Max-E","Who's Bad Now",60

"DJ Qbert","Invasion Of The Octopus People",273

"DJ Qbert","Jiu Jitsu (feat. DJ Iq)",283

"DJ Qbert","Sneak Attack",220

"DJ Revolution","Invaders From The Planet Sqratch (feat. DJ Qbert)",166

"DJ Spinbad","Itchy Vinyl Session PT2 Babylon 5",247

"DJ Yoda","Walking The Blues",163

"Dream Warriors","It's A Project Thing",265

"Dutty Moonshine & Kid Kasino","Everybody",217

"EL-P","Lazerface Warning (RJD2 Remix)",267

"Elvis Presley","Baby Let's Play House (Spankox Remix)",169

"Elvis Presley","Rubberneckin' (Paul Oakenfold Remix)",211

"Emiljo AC","Come Together (Beatles Remix)",255

"Emiljo AC","Purple Sunset",196

"Eric B and Rakim","Don't Sweat The Technique",253

"EZ Roller","It's Murder",407

"Fat Jon","Sins",107

"Fat Jon","Then",75

"Fatboy Slim","Always Read The Label",352

"Fatboy Slim","Praise You",324

"Fatboy Slim","Rockafeller Skank",239

"Fatboy Slim","Weapon of Choice (Tom Drummond Remix)",264

"Fatboy Slim","You're Not From Brighton",321

"FDEL","Instrumental Proficiency",235

"FDEL","Ladies and Gentlemen",240

"FDEL","Rocksteady",239

"Featurecast","Channel Surfing",182

"Featurecast","Channel Hopping (feat. Kool Keith)",283

"Featurecast","Recipe For The Perfect Afro",250

"F-Fields","Yellow Bream",196

"Fingathing","Rock The Whole Planet",220

"Force of Nature","Death Wish",165

"Fort Knox Five","The Brazilian Hipster",242

"Freestylers","Spaced Invader",439

"Fu Schnickens","Express Yourself (feat. Roger Troutman)",333

"Fu Schnickens","Express Yourself (feat. Roger Troutman)",333

"Funkadelic","I Got a Thing, You Got a Thing, Everybody's Got a Thing",237

"Funkstar De Luxe","Ignition",241

"Fuzz Townshend","Smash It",257

"G Bonson","Rokdadiskotek",194

"G Bonson","Stop",237

"Galactic","Church",354

"Galactic","Do It Again (feat. Cheeky Blakk)",151

"Galactic","Ya Ka May",194

"General Electriks","Raid The Radio (Mateo Remix)",215

"Ghetto Funk","Cant Stomp",208

"Ghetto Funk","Soul Goodman",218

"Ghetto Funk ICONS","Fell In Love With A Girl (Lewd Behaviour Remix)",274

"Goldfish","We Come Together",261

"Gorillaz","19 2000 (Soulchild Remix)",202

"Gorillaz","Clint Eastwood",341

"Gorillaz","Dare",245

"Gorillaz","Dirty Harry",220

"Gorillaz","Left Hand Suzuki Method",191

"Gorillaz","People",214

"Gorillaz","Re-Hash",213

"Gorillaz","Sleeping Powder",167

"Gorillaz","Spitting Out The Demons",310

"Gramatik","Boom Bap Reinstated",217

"Gramatik","Break Loose",207

"Gramatik","Cirkus",210

"Gramatik","Cool Thieves",197

"Gramatik","Eternal Love Yet So Evasive",414

"Gramatik","Friday",202

"Gramatik","Im Doin My Thang",184

"Gramatik","Just Jammin",390

"Gramatik","On The Run",213

"Gramatik","Portorose In July",271

"Gramatik","Spoiler Alert",155

"Gramatik","Walkin' Down The Street",209

"Gramatik","You Don't Understand",233

"GRiZ","A Fine Way To Die (feat. Orlando Napier)",401

"GRiZ","Feel The Love",373

"GRiZ","Funk Party",292

"GRiZ","Gettin' Live",448

"GRiZ","Good Times Roll (feat. Big Gigantic)",244

"GRiZ","Hard Times",245

"GRiZ","It's All Good (feat. Jessie Arlen)",344

"GRiZ","Stop Trippin' (feat. iDA Hawk)",231

"GRiZ","The Anthem (feat. Mike Avery)",290

"GRiZ","The Future Is Now",370

"GRiZ","Vision Of Happiness",198

"GRiZ","Wheres The Love",373

"Grizmatik","Digital Liberation Is Mad Freedom",312

"Grizmatik","Good Times Roll",244

"Grizmatik","My People",347

"Homeboy Sandman","Talking (Bleep)",192

"Howla","Can't Get Next To You",206

"Hustle Athletics","San Fransisco",272

"I Monster","Daydream In Blue",221

"I Monster","Everyones A Loser",196

"Imi Kamoze","Here Comes the Hotstepper",249

"Indy Lopez","Dom Dom Dom (Radio Edit)",239

"J Walk","French Letter",294

"Jam Nights","Big Fun (Agent Stereo Mix)",370

"James Brown","Cant Take It With You (Regrooved by The Breakbeat Junkie)",295

"James Brown","Get Up Off That Thing (Featurecast)",290

"James Brown","Mind Power (Regrooved by Basement Freaks)",244

"James Brown","My Thang (Regrooved by DJP)",257

"Jamiroquai","Alright",222

"Jamiroquai","Canned Heat",332

"Jamiroquai","Little L",296

"Jamiroquai","Virtual Insanity",341

"Janelle Monae","Tightrope (feat. Big Boi)",287

"Jean Knight","Mr Big Stuff (Badboe Remix)",265

"Jean-Jacques Perrey","EVA",191

"Jean-Jacques Perrey","Moog Indigo",176

"John Guscott","Blob In Space",156
