
Artist,Title,Length,

"2Pac","Haily Mary (Instrumental)",259

"20Syl","Ongoing Thing",239

"50 Cent","Irregular Heartbeat",220

"Aaron Wheeler","Honeys in the Place",167

"Aceyalone","Moonlight Skies Ft Goapele",258

"Aceyalone","The Guidelines",288

"Aceyalone and RJD2","Moore",289

"Action Bronson","Actin Crazy",239

"Aesop Rock","Defender",191

"Aesop Rock","Dorks",213

"Aesop Rock","Labor",154

"Aesop Rock","Molecules",204

"Aesop Rock","Mystery Fish",189

"Aesop Rock","Rabies",186

"Aesop Rock","Shrunk",189

"Aesop Rock","Supercell",231

"Aesop Rock","Syrup feat Homeboy Sandman Open Mike Eagle",180

"Aesop Rock","Tuff",231

"Aesop Rock","Water Tower",231

"Akrobatik","Exterminator",215

"Akrobatik, Breez Evahflowin, Chan 3 & C Rayz Walz","Explosion",296

"Apathy & Celph Titled","88 Mindstate",177

"Apathy & Celph Titled","Naturally Nasty",208

"Atmosphere","Pour Me Another",290

"Atmosphere","The Keys To Life Vs. 15 Minutes Of Fame",158

"Big Punisher","Twinz (Deep Cover 98 feat Fat Joe)",228

"Binary Star","Conquistadors",227

"Binary Star","Slang Blade",158

"Black Star","Astronomy (8th Light)",204

"Blackalicious","Paragraph President",309

"Blackalicious","Passion",235

"Brockhampton","Bump",158

"Brockhampton","Fake",276

"Brockhampton","Heat",273

"Brockhampton","Star",161

"Busta Rhymes","Everybody Rise",180

"Busta Rhymes","Everything Remains Raw",222

"Busta Rhymes","Survival Hungry",206

"Busta Rhymes","Woo Hah Got You All In Check",274

"Childish Gambino","Bonfire",195

"Childish Gambino","Worldstar",245

"Cipher","One",114

"Cipher","Peeps",232

"Cipher","Punchline",267

"Cipher","Relay Feat XL",220

"Clam Casino","All Nite",168

"Concise","Get The Money (ft Checkmate)",242

"Coolio","Gangstas Paradise (feat LV)",241

"COOLR","Freefall (ft January PROD BY HOOCH)",242

"Copywrite","Wont Stop",230

"CunninLynguists","616 Rewind",256

"CyHi The Prynce","Mandela",225

"Cyne","400 Years",217

"Cyne","Paradise",226

"Cypress Hill","16 Men Till There's No Men Left",260

"Cypress Hill","Audio X",199

"Cypress Hill","Break Em Off Some",165

"Cypress Hill","Checkmate",216

"Cypress Hill","From The Window Of My Room",300

"DANGERDOOM","Sofa King",177

"Dangermouse","Chase Me (Ft Run The Jewles x Big Boi)",225

"Das EFX","Real Hip Hop (Ben Hedibi Remix)",250

"Del the Funky Homosapien","Eye Examination",226

"Del the Funky Homosapien","Mastermind",214

"Del The Funky Homosapien","Offspring (ft El P)",260

"Del The Funky Homosapien","Press Rewind",277

"Denzel Curry","This Life",207

"DGX","EOTD",155

"DGX","Fresh Clean",135

"DGX","Know Me",179

"DGX","Young Schmacks",133

"Diabolic","Diabolic Sound",195

"Dilated Peoples","Annihilation",238

"Dilated Peoples","Big Business (prod by DJ Babu)",150

"Dilated Peoples","DJ Babu In Deep Concentration",317

"Dilated Peoples","Marathon (prod by Alchemist)",308

"Dilated Peoples","No Retreat (feat B-Real)",321

"Dilated Peoples","Panic (prod by The Alchemist)",229

"Dilated Peoples","Who's Who",245

"Dilated Peoples","Work The Angles",241

"Dilated Peoples","Worst Comes to Worst",216

"DJ Shadow","Horror Show",214

"Doseone","2 Ton Can of Wupass",283

"Dynamite MC","Bounce",220

"Earl Sweatshirt","Hive",279

"Earl Sweatshirt","Orange Juice",231

"Earl Sweatshirt","Wool",153

"EL-P","Constellation Funk",299

"EL-P","Deep Space 9mm",227

"EL-P","Delorean (Feat Aesop Rock & Ill Bill)",334

"El-P","EMG",272

"El-P","Run the Numbers (feat. Aesop Rock)",282

"El-P","Squeegee Man Shooting",265

"EL-P","Stepfather Factory",252

"Evil Nine","Crooked (ft. Aesop Rock)",347

"Eyedea & Abilities","Big Shots",230

"Eyedea & Abilities","Burn Fetish",175

"First Light","Greetings",209

"Freestyle Fellowship","Freestyle Dedication (Ft Supernatural)",117

"Freestyle Fellowship","Ghetto Youth",188

"Freestyle Fellowship","Slappy The Happy Killer Clown",167

"Freestyle Fellowship","Temptations",268

"Fun Lovin Criminals","Crime and Punishment",196

"Gang Starr","Above The Clouds",226

"Gang Starr","Full Clip",217

"Gang Starr","Mass Appeal",218

"Genuine Rat","Holla Plum Funk",224

"Ghetto Concept","EZ On Tha Motion",238

"Goodie Mob, Khujo Goodie & Outkast","Gasoline Dreams",215

"Gorillaz","Let Me Out (Banx & Ranx Remix)",184

"GZA","Duel Of The Iron Mic",247

"Hail Mary Mallon","Jonathan",205

