
Artist,Title,Length,

"2 Mello","Cauldron Rave",158

"Charles Bernstein","A Nightmare on Elm Street",252

"AC/DC","Highway to Hell (Deni Knight Remix)",233

"AC/DC","Highway To Hell",209

"Aero Chord","Saiko (Monstercat Release)",229

"Aero Chord","Saiko VIP",134

"Alice Cooper","Feed My Frankenstein",286

"Amy Winehouse","Back To Black (The Rumble Strips Remix)",228

"Andy Williams","Spooky",195

"Archie King","The Vampires",146

"Arctic Monkeys","The Jeweller's Hands",344

"Atmosphere","The Woman With The Tattooed Hands",210

"AWOLNATION","Hollow Moon (Bad Wolf)",259

"Bauhaus","Bela Lugosi's Dead",794

"Beatfreakz","Somebody's Watching Me (Version 1)",170

"Beatfreakz","Somebody's Watching Me (Version 2)",192

"Beatfreakz","Somebody's Watching Me (Version 3)",172

"Bee Gees","Stayin Alive (N Trance)",235

"Billie Eilish","ilomilo (Henry Saiz Remix)",404

"Billie Eilish","ilomilo",156

"Blockhead","You've Got Maelstrom",287

"Blonde Redhead","For The Damaged",294

"Blue Oyster Cult","Don't Fear The Reaper",229

"Blues Saraceno","Bad Man",208

"Blues Saraceno","Killin' Floor",179

"Bobby Borris Pickett and the Crypt Kickers","Monster Mash",194

"Bow Wow Wow","I Want Candy",165

"Boyfriend","Jealousy",225

"Bump","EVIL",24

"Bush","Mouth",274

"Cab Calloway","St James Infirmary (Remix feat Harald Kindseth)",259

"Caravan Palace","Ghosts",89

"Carlos Santana","Black Magic Woman (E Android Remix)",224

"Carlos Santana","Black Magic Woman",214

"Carlos Santana","Evil Ways",236

"Cartoons","Witch Doctor",136

"Childish Gambino","Terrified",256

"Chubby Checker","Doin' the Zombie",195

"Classics IV","Spooky",176

"Cranberries","Zombie",311

"Creedence Clearwater Revival","Bad Moon Rising",142

"Dave Matthews Band","Halloween",308

"David Bowie","Blackstar",598

"David Seville","The Witch Doctor",142

"Dinah Washington","Mean And Evil Blues",113

"Dinky","Falling Angel",239

"Disco Heat","Watching You",226

"District 78","Toxic",240

"DJ Jazzy Jeff & The Fresh Prince","A Nightmare On My Street",294

"Donovan","Season of the Witch",296

"Doujah Raze","Crazy",155

"Duponts","Screamin Ball At Dracula Hall",143

"Electric Light Orchestra","Evil Woman (Professor LaCroix Instant Disco Mix)",308

"Electric Light Orchestra","Evil Woman",252

"Evanescence","Haunted",186

"Fight Club OST","Medula Oblongata",361

"Fiona Apple","Criminal",344

"Florence And The Machine","Girl With One Eye",219

"Flower Power","Riders On The Storm (Purple Rain Edit)",270

"Franz Ferdinand","Evil Eye",167

"Gene Vincent","Race With The Devil",124

"George Thorogood & The Destroyers","Bad To The Bone",297

"Kill Paris","Ghostbusters",202

"Undreamed Panic","Ghostbusters",275

"Ray Parker Jr.","Ghostbusters",246

"WwW.LanzaMp3.CoM","Ghostbusters (Version 2)",253

"Ray Parker Jr.","Ghostbusters",244

"Gnarls Barkley","Crazy (Slow Version)",300

"Gnarls Barkley","The Boogie Monster",170

"Gorillaz","Dracula",281

"Gorillaz","Ghost Train",235

"Gorillaz","Spitting out the Demons",311

"Gotye","Don't Worry, We'll Be Watching You",201

"Gun","Race With The Devil",216

"Ronald Jenkees","Halloween",231

"John Carpenter","Halloween",162

"Hollywood Flames","Frankensteins Den",138

"Hot Sugar","The Kid Who Drowned At Summer Camp",199

"Howlin Wolf","Evil (Is Going On)",175

"I Monster","These Are Our Children",247

"Insane Clown Posse","Pumpkin Carver",281

"Irving Force","Back Alley Creepers",278

"Jace Everett","Bad Things",163

"Japan","Halloween",263

"Jessica Lange","Gods And Monsters (feat. The Freak Show)",235

"Jimi Hendrix","All Along The Watchtower (Pretty Lights Remix)",303

"John Murphy","In The House In A Heartbeat",257

"Johnathan Coulton","I Feel Fantastic",151

"Johnny Cash","Ghost Riders In The Sky",226

"Joywave","Destruction",184

"Jumpin' Gene Simmons","Haunted House",153

"Jumpin' Gene Simmons","Haunted House",155

"Karen O & Trent Reznor","Immigrant Song",168

"KC and The Sunshine Band","I'm Your Boogie Man",244

"Kevin Sherwood","Beauty Of Annihilation",268

"Kid Loco","Gypsie Good Time",231

"Kid Loco","Horsetown In Vain",353

"Kid Loco","Lucy's Talking",265

"Kip Tyler","Shes My Witch",141

"Kris Kristofferson","To Beat The Devil",281

"Kula Shaker","Grateful When You're Dead",343

"Not Provided","Left 4 Dead 2 Soundtrack (Hip Hop Remix)",256

"Leroy Bowman and The Arrows","Graveyard",140

"Lofi Hip Hop","Spooky Skeleton Mini Mix",177

"Lorn","Set Me Free",367

"Lovage","Archie And Veronica",366

"Lovebugstarski","Amityville (The House On The Hill)",332

"Marilyn Manson","Man That You Fear",371

"Marilyn Manson","Personal Jesus",194

"Marilyn Manson","Rock Is Dead",190

"Marilyn Manson","The Beautiful People",220

"Marty Robbins","Devil Woman",173

"Massive Attack","Teardrop",331

"Melanie Martinez","Mad Hatter",202

"Metric","Torture Me",232

"Michael April","Dead By Daylight",241

"Michael Jackson","Ghosts (Early Version)",347

"Michael Jackson","Thriller (Halloween Xmix vs DMC)",470

"Michael Jackson","Thriller (The Reflex Halloween Disco Edit)",467

"Michael Jackson","Thriller",358

"Mort Garson","Black Mass",227

"Mort Garson","Blue Poppy",387

"Muse","Dead Inside",263

"Nick Nolan","Hell on Wheels",175

"Nightmare On REZZ Street","Track 01",194

"Nina Simone","I Put a Spell On You",154

"Nine Inch Nails","Closer (AHZ Remix)",210

"Nosferatu Overture","Omens Of Nosferatu",183

"Oingo Boingo","Dead Man's Party",379

"Otep","Apex Predator",323

"Ours Samplus","Spell On You",240

"Ox","So Cold",153

"Ozzy Osbourne","Bark at the Moon",258

"Portishead","Biscuit",304

"Portishead","Glory Box",306

"Portishead","Strangers",238

"Pretty Lights","I Put A Spell On You (Remix)",287

"Bernard Herrmann - City of Prague Philharmonic Orchestra","Psycho",182

"Queens Of The Stone Age","Burn The Witch",218

"Queens Of The Stone Age","You Got A Killer Scene There, Man",297

"Radiohead","Climbing Up the Walls",286

"Radiohead","We Suck Young Blood",297

"Razihel","Children Of The Night (Monstercat Release)",304

"Redbone","The Witch Queen Of New Orleans",165

"RJD2","Ghostwriter Remix The Horror Ep",343

"Rob Zombie","Dragula",223

"Rob Zombie","I'm Your Boogieman",270

"Rob Zombie","Living Dead Girl (Subliminal Seduction Mix)",249

"Rob Zombie","Living Dead Girl",201

"Rob Zombie","Mars Needs Women (Griffin Boice Remix)",204

