
Artist,Title,Length,

"Alice Francis","Shoot Him Down",227

"Amelia Arsenic","On the Attack",201

"Amy Winehouse","Back To Black (The Rumble Strips Remix)",228

"Amy Winehouse","Stronger Than Me (Lobo Bootleg Remix)",205

"Avril Lavigne","Girlfriend (Junkie XL Extended Mix)",345

"Avril Lavigne","Hello Kitty",199

"AWKWAFINA","Peggy Bundy",140

"Band Of Skulls","Asleep At The Wheel",220

"Bandy Leggls","I Know U Want Me",176

"Beautiful Small Machines","Super Conducter",141

"Bishop","Wild Horses",188

"Bitter Sweet","A Moment",264

"Bitter Sweet","Bittersweet Faith (Thievery Corporation Remix)",238

"Bitter Sweet","Dirty Laundry",201

"Boyfriend","Beauty is Pain",170

"Boyfriend","Hey Girl",156

"Boyfriend","Jealousy",225

"Boyfriend","Like My Hand Did",207

"Boyfriend","Love Means (DXXXY Remix)",212

"Boyfriend","Love Means",174

"Caro Emerald","My 2 Cents",226

"Charlotte Gainsbourg","Greenwich Mean Time",145

"Chrome Sparks","Marijuana (Feat Kitty)",180

"Churchill","Change",201

"Cibo Matto","Hotel Valentine",222

"Class Actress","Journal of Ardency",228

"Coins","On Your Lips feat Dolls",224

"CSS","Music Is My Hot Hot Sex",187

"Dan The Automater","Stroker Ace",270

"Die Antwoord","Cookie Thumper",200

"Die Antwoord","I Fink U Freeky",235

"Dinky","Falling Angel",239

"District 78","Toxic",240

"Dragonette","I Get Around",209

"Dragonette","Stupid Grin",225

"Elastica","Connection",141

"Elle King","Ex's & Oh's",203

"Felix Da Housecat","Rocket Ride",157

"Findlay","Off & On",168

"Fiona Apple","Criminal",344

"Florence And The Machine","Girl With One Eye",219

"Gabriela Robin","PAPA Plastic",251

"Garbage","Cherry Lips",191

"Garbage","Push It",243

"Garbage","Queer",277

"Goldfish","Heart Shaped Box",206

"Goldfrapp","Ooh La La",204

"Goldfrapp","Strict Machine",231

"Gwen Stefani","Hollaback Girl",200

"Handsome Boy Modeling School","The Truth",338

"Infinity Guitars","Sleigh Bells",150

"Ivy Levan","I Dont Wanna Wake Up",180

"Junkie XL","Mad Pursuit",257

"Junkie XL","More (Radio Edit)",227

"Junkie XL","More More (Tocadisco Remix)",403

"Karen O & Trent Reznor","Immigrant Song",168

"Kid Loco","Gypsie Good Time",231

"Kid Loco","Lucy's Talking",264

"Kiiara","Gold",218

"Kim Tillman & Silent Films","Evelyn",240

"Kimbra","Good Intent",211

"Kylie Minouge","Cant Get You Out Of My Head",231

"La Roux","Tigerlily",205

"Lily Allen","Knock 'em Out",174

"Lovage","Archie & Veronica",366

"Lovage","Pit Stop (Take Me Home)",236

"Lovage","Strangers on a Train",277

"Lovage","To Catch A Thief",197

"M.I.A","Double Bubble Trouble",180

"Make The Girl Dance","Baby Baby Baby",244

"Man Like That","Gin Wigmore",171

"Marian Hill","One Time (Imanos Remix)",170

"Marian Hill","One Time",218

"Mars Argo","Beauty Is Empty",231

"Melanie Martinez","Cry Baby",236

"Melanie Martinez","Mad Hatter",202

"Metric","Torture Me",232

"Morningwood","Nu Rock",150

"New Young Pony Club","Ice Cream",193

"No Doubt","Hella Good",243

"No Doubt","Love To Love You Baby",263

"Peaches","Boys Wanna Be Her",236

"Peaches","Fuck the Pain Away",250

"Peter Chapman","On Your Lips feat Dolls",224

"Phantogram","KYSA",271

"Pop Le Champagne","Muddy Boots",146

"Portishead","Glory Box",306

"Portishead","Strangers",238

"Republica","Ready To Go",302

"Sabrina Carpenter","Thumbs",220

"Santigold","Disparate Youth",284

"SEVDALIZA","That Other Girl (Malanoche Perception Remix)",194

"Shiny Toy Guns","Le Disko",203

"Shiny Toy Guns","Speaking Japanese",186

"Sleigh Bells","Kids",166

"Sleigh Bells","Riot Rhythm",125

"Sneaker Pimps","6 Underground",236

"Spinnerette","Sex Bomb (Adam Freeland Remix)",281

"Still Corners","Don't Fall In Love",235

"Sugar Rocket","Make Me Blush",205

"Sugar Rocket","Only For Your Eyes",104

"Supreme Beings Of Leisure","Under The Gun",209

"Swing Republic","Crazy In Love",235

"The Amazons","Unknown (feat Ze)",239

"The Bird And The Bee","Fucking Boyfriend (Peaches Remix)",307

"The Bird And The Bee","Polite Dance Song",228

"The Cardigans","My Favourite Game",220

"The Pretty Reckless","Heaven Knows",225

"The Soho Dolls","Stripper",227

"The Submarines","1940 (AmpLive Remix)",195

"X-Ecutioners","Like This",203

"Yaeji","Raingurl",237

"Yummy Tasty Orchid","Britney Spears vs Fergie vs Gwen Stefani",299
