
Artist,Title,Length,

"Astrud Gilberto","Fly Me To The Moon (Kaskade Remix)",260

"Beach House","Space Song",320

"Beastie Boys","Intergalactic (Psymbionic Remix)",256

"Caravan Palace","Aftermath",186

"Coldplay","Sky Full Of Stars (Instant Party TRAP REMIX)",218

"Cut Chemist","A Peak in Time",292

"Daft Punk","Solar Sailer (Pretty Lights Remix)",274

"Daft Punk vs C2C","Get Happy (UniverseJay Mashup)",308

"DANGERDOOM","Space Hos",210

"David Bowie","Space Oddity (SpaceX Remix)",300

"David Bowie","Space Oddity (Virgin Magnetic Material Remix)",435

"Dex Dubious","In Space",231

"Dicepticon","Space Drifter",187

"Digitalism","Echoes",219

"DJ Disse","Walk On The Wild Side",411

"DJ Revolution","Invaders From The Planet Sqratch (Feat DJ Qbert)",166

"Elton John","Rocket Man (03 Remix)",240

"Europe","The Final Countdown (Hyperclap TRAP REMIX)",190

"Fingathing","Rock The Whole Planet",220

"Fingathing","Walk in Space",304

"Frank Sinatra","Fly Me To The Moon (Cee Roo Remix)",165

"Frank Sinatra","Fly Me To The Moon (Mattrixx Remix)",156

"Frank Sinatra","Fly Me To The Moon (YungRhythm Lofi)",195

"Freeland","Supernatural Thing",312

"Iru Kashi","I Did It My Way (Outro)",105

"Jean-Jacques Perrey","EVA",191

"John Lennon","Across the Universe (ELECTRIC DANDELOIN REMIX)",233

"Kraftwerk","Spacelab (vectorial version)",358

"EDM Bot","",143

"Lockyn","Crystalize",218

"Muse","Supermassive Black Hole (efgan Remix)",210

"Muse","Supermassive Black Hole (Slow Sense & Jumper Remix)",263

"Not The King","Ice Tea",133

"Oasis","Champagne Supernova (Lynchmob Beats Mix)",285

"Oasis","Champagne Supernova (Trap Remix)",236

"Portishead","Wandering Star (Soaring Man Remix)",281

"Psyche Origami","Wherever You Are",198

"Smash Mouth","Satellite",220

"Smash Mouth","Who's There",214

"Soundgarden","Black Hole Sun (Binaural Space Ballad Remix)",303

"Soundgarden","Black Hole Sun (GoldFish Tribute Mix)",259

"Suhov","Different",180

"TM Juke","Bees On Mars",195

"Towa Tei","Technova (La Em Copacabana)",348

"Train","Drops Of Jupiter (LeMove & Fuzz Jr Remix)",286

"Underground Resistance","The Final Frontier",496

"Unknown","I'd Like To Love You (Everyday)",74

"Unknown","Voyager (Broke One Remix)",291

"Wagon Christ","Mr Mukatsuku",237
