
Artist,Title,Length,

"2 Mello","Ba da Ba",237

"A La I","BABY",381

"A Skillz","Dead Ringer (feat Kymberley Kennedy)",216

"A Skillz","Slip And Slide",247

"Aldo Vanucci","You're All Show feat Kylie Auldist (Smoove Remix)",238

"Alice Francis","Shoot Him Down",227

"Bad Cookies","Lets Get Connected",178

"Basement Jaxx","Red Alert (Future Pump Up the Funk Edit)",248

"Bitter Sweet","The Mating Game",204

"BUNT","Young Hearts",196

"Caravan Palace","Aftermath",186

"Caravan Palace","Beatophone (Club Mix)",321

"Caravan Palace","Black Betty",190

"Caravan Palace","Comics (Swing Thru)",245

"Caravan Palace","Comics",213

"Caravan Palace","Lone Digger",170

"Caravan Palace","Russian",242

"Caravan Palace","Supersonics",201

"Caravan Palace","Suzy",245

"Caravan Palace","The dirty side of the street",217

"Caravan Palace","Wonderland",191

"Caroline Pennell","Little",183

"Catey Shaw","Human Contact (French Horn Rebellion Remix)",276

"Catey Shaw","Rumble In The Park",162

"Cibo Matto","10th Floor Ghost Girl",213

"Cibo Matto","Sci-Fi Wasabi",223

"Cibo Matto","Spoon",247

"Cibo Matto","Working For Vacation",200

"Confidence Man","Bubblegum",209

"CSS","Let's Make Love And Listen To Death From Above",211

"Daft Punk","Musique",412

"Dark Cat","Bubble Tea",243

"Deerhoof","81",184

"Deerhoof","I Did Crimes for You",190

"Dimie Cat","Glam (Electro Swing Remix)",186

"Dreadsquad","Soulfly (feat Kasia Melenda)",226

"Earl","Tounge Tied",187

"Ellie Goulding","Lights",277

"Emmanuelle","Free HiFi Internet",226

"Felix Da Housecat","Rocket Ride (Soulwax Rock it Right Remix)",393

"Flight Facilities","Crave You Feat Giselle (Radio Edit)",237

"Flume","Sleepless",209

"Freeland","Supernatural Thing",312

"French Kiss","Libertango (Vip Lounge Edit)",305

"fusq","Gateway",185

"Gamu","Shake The Room",170

"Geoxor","Galaxy",218

"Giraffage","Tell Me (GTA Remix)",223

"Goldfrapp","Ooh La La",204

"Grynpyret","Airplane Food",209

"Ivy Levan","I Dont Wanna Wake Up",180

"Jamie Berry","Lost In The Rhythm (Feat Octavia Rose)",187

"JK Soul","C",197

"JSMN","Payphone (Produced by Medasin)",153

"Karen Souza","Creep",212

"Kero Kero Bonito","Sick Beat",179

"Kero Kero Bonito","Waking Up",177

"Kiiara","Gold",218

"Kimbra","Good Intent",211

"Knapsack","Dazed",195

"KOAN Sound","7th Dimension",219

"Kylie Minouge","Cant Get You Out Of My Head",231

"La Rochelle Band","Madame (Parov Stelar Remix)",271

"Lemaitre","Closer (feat Jennie A)",272

"Lily Allen","Knock 'Em Out",174

"Lily Allen","LDN",192

"limbo","what it is",148

"Little Boots","New In Town",199

"Macross 82-99","Sailor Team",168

"Mallrat","For Real",192

"Marina And The Diamonds","Froot (Oliver Nelson Remix)",397

"Max Sedgely","Slowly",223

"Menta","Madoka",221

"Moe Shop","Love Taste (w/ Jamie Paige & Shiki)",176

"Moe Shop","Notice (Feat. TORIENA)",189

"Moe Shop","Pastel",248

"Mr Bill & Tha Fruitbat","Straight Up Seminal Shit",230

"Natural Self","In The Morning",298

"Nick Kaelar","Doki Doki",222

"Odesza","Say My Name (feat Zyra)",266

"Oha","Pop Le Champagne",177

"Okinawa Lifestyle","Levan",360

"OOHYO","Pizza",212

"OTNJ_B","How Crazy R U (Remix)",283

"Parov Stelar","Booty Swing",192

"Parov Stelar","Catgroove",268

"Parov Stelar","Gin Tonic",199

"Parov Stelar","The Paris Swing Box",292

"Parov Stelar","Libella Swing",284

"Phantogram","Don't Move",259

"Pixelsaur","Sugoi Sugoi",189

"Pop le Champagne !","muddy_boots",146

"Poppy","I'm Poppy",135

"Poppy","Interweb",230

"PSUS","Super Fishin",132

"Question","Osanha",158

"Remi Wolf","Disco Man",192

"Remi Wolf","Hello Hello Hello",172

"Remi Wolf","Photo ID (Free Nationals Remix)",283

"Rhodz","Boogie Pls",211

"Rhodz","Gimmick",231

"ENM","Rhodz - Moody Echoes",212

"RJD2","High Lights",203

"RoBKTA","Love Soak",228

"Satanicpornocultshop","RIP Tide",177

"Session Victim","Good Intentions",365

"Shawn Wasabi","Spicy Boyfriend",178

"She","Atomic",204

"She","Be Alright",271

"She","Just Your Eyes",189

"She","Moonlight",207

"She","Yes OK",212

"Shirobon","GRG",201

"Sia And Studio Killers","Move Your Gurus (Adrnliao Remix)",280

"Skeewiff","Nitty Gritty",225

"Skeewiff Vs Shawn Lee Vs Nancy Sinatra","I Got Soul Boots Made For Walkin",259

"Snail's House","Hot Milk",248

"Snail's House X Moe Shop","Pastel",248

"Sneaker Pimps","6 Underground",236

"Soulwax Ft Chloe Sevigny","Heaven Scent",310

"Superchick","One Girl Revolution",195

"Electro swing","swing republic crazy in love",235

"Swingrowers","Bidibambumbey",244

"Swingrowers","Mr Sandman",239

"The Asteroids Galaxy Tour","Around the Bend",228

"The Cardigans","Lovefool (St&Lo Project Remix)",210

"The Electric Swing Circus","Ruby",296

"The Flying Lizards","Money",152

"Think Twice","Backside",196

"Unknown","Lets Get Married (Medda flip)",164

"Wolf Alice","Dont Delete The Kisses",275

"Yaeji","Raingurl",237

"Yuna","Likes",216

"Zero 7","In the Waiting Line",272
