
Artist,Title,Length,

"A Skillz","ABC (Jackson Remix)",212

"Alvin Robinson","Fever (ProleteR Tribute)",209

"BadboE","Rescue Me (BigM Remix)",346

"Basement Jaxx","Do Your Thing",257

"Big Maybelle","Pretty Good Love (Mr Large Edit)",155

"Bobby McFerrin","Don't Worry Be Happy (Father Funk Remix)",248

"C2C","Mack The Knife (Louis Armstrong Remix)",125

"Carlos Santana","Black Magic Woman (E Android Remix)",224

"Cee Roo","Ella Fitzgerald Tribute",251

"Cee Roo","Frank Sinatra Tribute",166

"Cee Roo","Otis Redding",223

"Cee Roo","Work Song",230

"DJ Disse","Break On Through",379

"DJ Disse","Riders In The Storm",443

"DJ Max-E","Who's Bad Now",60

"Dutty Moonshine & Kid Kasino","Everybody",217

"Elvis Presley","A Little Less Conversation (Junkie XL Remix))",371

"Elvis Presley","Baby Let's Play House (Spankox Remix)",169

"Elvis Presley","Rubberneckin' (Paul Oakenfold Remix)",211

"Emiljo AC","Come Together (Beatles Remix)",255

"Emiljo AC","Purple Sunset",196

"Fleetwood Mac","Dreams (Gigamesh Remix)",316

"Frank Sinatra","That's Life (ProleteR Tribute)",160

"Ghetto Funk","Soul Goodman",218

"Gramatik","Stairway To Hip Hop Heaven (Led Zeppelin REMIX)",217

"GRiZ","Dream On (REmix)",304

"I Monster","Daydream In Blue",221

"Iru Kashi","When I Look At You",172

"James Brown","Cant Take It With You (Regrooved by The Breakbeat Junkie)",295

"James Brown","Get Up Off That Thing (Featurecast)",290

"James Brown","It's A Man's World (Regrooved by Parker)",228

"James Brown","Mind Power (Regrooved by Basement Freaks)",244

"James Brown","My Thang (Regrooved by DJP)",257

"Jean Knight","Mr Big Stuff (Badboe Remix)",265

"Johnny Cash","Get Rhythm (Philip Steir Remix)",280

"Junkie XL","A Little Less Conversation (Elvis Extended REMIX)",371

"Junkie XL","A Little Less Conversation (Elvis Radio REMIX)",215

"King Harvest","Dancing in the Moonlight (Foxy Nicholas Bootleg Edit)",233

"KYNAY","Hotel California (Reggae Remix)",391

"Little Freddie King","Chicken Dance (Remix)",162

"Little Richard","Tutti Frutti (AronChupa Remix)",144

"Louis Armstrong","Mack the knife (ProleteR Tribute)",258

"Marvin Gaye & The Gorillaz","I Heard It Through The Grapevine vs Feel Good Inc",222

"Michael Jackson","2 Bad (Nick Redux)",264

"Minoru","187",242

"Otis McDonald","La La La",144

"Phil Collins","In the Air Tonight (Cosmo Black Remix)",352

"Poldoore","But I Do",239

"ProleteR","April Showers",276

"Ray Charles","Good Thymes (Opiuo Remix)",179

"Ray Charles","Hit The Road Jack (Cee-Roo Remix)",208

"Ray Charles","Hit The Road Jack (ProleteR Tribute)",200

"Ray Charles","I Got A Woman (Father Funk Remix)",181

"Shahar Varshal","I Want To Break The Wall",207

"Skeewiff Vs Shawn Lee Vs Nancy Sinatra","I Got Soul Boots Made For Walkin",251

"Steve Miller Band","Fly Like An Eagle (Psymbionic Remix)",269

"Steve Miller Band","Fly Like An Eagle (The Widdler Remix)",229

"Stevie Wonder","Superstition (C2C Remix)",203

"Stevie Wonder & Edwin Starr","Superstition War",182

"The Doors","Break On Through (DJ Swamp Remix)",216

"The Doors","Roadhouse Blues (Fender Bender Remix)",283

"The Doors","Soul Kitchen (Dj Inko Remix)",209

"The Doors","Strange People (Lee Turley Remix)",322

"The Doors vs C2C","Captain (Raymon Lazer Remix)",302

"The Flying Lizards","Money",152

"Tom Jones & The Cardigans","Burning Down The House (Scissorkicks Remix)",232
