
Artist,Title,Length,

"Black Sabbath","War Pigs (An-Ten-Nae Remix)",254

"Bob Marley","Get Up Stand Up (Banx & Ranx Remix)",221

"Brother Ali","Uncle Sam Goddamn",297

"Buffalo Springfield","For What Its Worth (DEEJAYTARNZ Remix)",309

"DJ Format","The Turning Point",315

"DJ Prince","Come Together (Beatles Remix)",226

"Funkadelic","I Got a Thing, You Got a Thing, Everybody's Got a Thing",237

"Imagine Dragons","Believer",203

"Immortal Technique","Tell The Truth (Feat. Mos Def)",202

"Jetta","I'd Love To Change The World (Matstubs Remix)",190

"Jurassic 5","Freedom",199

"Karen O & Trent Reznor","Immigrant Song",168

"Kid Rock","Dont Tell Me How To Live ft Monster Truck",252

"Lenny Kravitz","Are You Gonna Go My Way (Sunday Soulman & Chris Child Remix)",410

"Lenny Kravitz","Dig In",223

"Lenny Kravitz","Mama Said (PulpFusion Mix)",430

"Metallica","For Whom The Bell Tolls (Bassnectar Remix)",449

"Muse","Uprising (Resisting Remix)",302

"Nas & Damian Marley","Leaders (feat Stephen Marley)",260

"Nico Vega","Beast",242

"Nina Simone","Feeling Good (Bassnectar Remix)",226

"OutKast","B.O.B.",304

"Portugal. The Man","Creep In A T Shirt",233

"Portugal. The Man","Feel It Still (Flatbush Zombies Remix)",207

"Portugal. The Man","Feel It Still (Ofenbach Remix)",175

"Portugal. The Man","Feel It Still (ZHU Remix)",214

"Rage Against The Machine","Guerrilla Radio",206

"Rage Against The Machine","Maggie's Farm",414

"Rage Against The Machine","New Millennium Homes",225

"Rage Against The Machine","Sleep Now In The Fire",206

"The Clash","I Fought The Law (Mikkim and EAC DJs Remix)",

"The Funk Hunters & Chali 2na","Get Involved (feat Defunk)",233

"The Redwalls","Colorful Revolution",224

"The Who","Eminence Front (Zen Remix)",327

"U2","Love And Peace Or Else",291

"WAR","Why Cant We Be Friends",231
