
Artist,Title,Length,

"A. Fortnite","88811",193

"A. Fortnite","GINGA FORCE IV",228

"A. Fortnite","wood man force 4",106

"Ahmaykmewsik","executioner (K MIX)",262

"Ahmaykmewsik","He's a Family Guy",174

"Ahmaykmewsik","K.K. Groove-a-Numa ft. Isabelle",173

"Ahmaykmewsik","Pumpkin Hill feat. DJ Professor K",192

"Ahmaykmewsik","Pumpkin Hill ft. DJ Professor K (Instrumental)",192

"Ahmaykmewsik","Rise",285

"Ahmaykmewsik","This is M0st DisturbiNg",325

"beardfear","Sega's answer to Super Mario Bros.",48

"beardfear","The Lucky Dime Caper Starring Cuphead and Mugman",48

"Beat ft. DJ Professor K","i said it before and i'll say it again",231

"Blue9Fairy","Herbing the Cockline",186

"Blue9Fairy","Take a Space Walk",328

"Bruh de la Boi","dreaming about beating dj professor k. to death tomorrow",95

"cazsu","DE LOVEHAZARD (Loveless RMX)",197

"ChickenSuitGuy","Absolute Scratchin'",32

"ChickenSuitGuy","AIN'T NOTHIN' LIKE A CHUNKY BEAT",203

"ChickenSuitGuy","Credits - Sega Bass Funny",99

"ChickenSuitGuy","DEAD GROOVE SHAKE #2",9

"ChickenSuitGuy","Ska Cha Cha (Rotten Mix)",139

"ChickenSuitGuy","Tail My Pussy",113

"ChickenSuitGuy, Felicia","SURROUNDIN' RUU",97

"ChickenSuitGuy, MLPFun","Trapped in Black",118

"ChristopherLry","Baku Baku Nutshack",59

"ChristopherLry","The Doraemon Do!",48

"COCONABE","4帽子 (2019 remaster)",272

"COCONABE","AIN'T NOTHIN' LIKE A FUNKY DANGER",197

"COCONABE","Angel of the Beach",256

"COCONABE","BIONICLE Bassline",156

"COCONABE","Brick 2 Brick",106

"COCONABE","Bring It On!",217

"COCONABE","Golfman",229

"COCONABE","Korone Ball Breakers",126

"COCONABE","Let the Saint Sleep",165

"COCONABE","SO FUNKY NOW",184

"COCONABE","Streets of Hydrocity",250

"COCONABE","The Legend of Bionicle",185

"COCONABE","Tokyo Speedrun",187

"cookiefonster","fireflies is a song about nights and dreams",144

"cookiefonster","Graffiti Canyon",90

"Cryptrik","Artificial Amateurs",220

"Cryptrik","Blading These Streets",287

"Cryptrik","Dirty Data Dealers (Done Dirt Cheap)",264

"Cryptrik","Mambo Circus",145

"CrystalForce","That's Enough, I Just Came Here to Bounce",185

"CrystalForce & NutellaFrenchToast","The Concept of Plastic Love",189

"CrystalForce, Dead Line","when the beat kicks youll shit brix",140

"dante","DOUBLE DECKER!",200

"dante ft. Charles Ritz","Neon Nights (LIGHTS UP EVOLUTION MIX)",296

"Dead Line","Pressure Panic Station",115

"Dead Line","Sean Kingston: Touch and Roll",201

"digboy","Funk Goes On (Funk'd Up Mix)",259

"digboy","Graceful Bombs Over Bathrooms",273

"digboy","HANDS UP HIGH",237

"digboy","Highway Couture",203

"digboy","Night Crew",262

"digboy","Sweet Soul Skank",209

"digboy","The Sound (Rude Lee Remix)",287

"DJ Professor K","What redbone would sound like if it was my longest jet set radio ever",41

