
Artist,Title,Length,

"Akira The Don","Christmas Time Is Here Charlie Brown",270

"Akira The Don","Have Yourself A Very Lofi Christmas",257

"Akira The Don","Lofi Ukulele Xmas",184

"Akira The Don","O Tannenbaum (Lofi Edit)",122

"Colossus","Charlie Brown Cut Up",124

"Engelwood","Nujabes Christmas Party",98

"Guustavv","Santa Swing",160

"Idealism","Snowfall",177

"Josh One","We Three Kings",232

"King Kooba","O Christmas Tree",305

"Leo Low Pass","Not Another Xmas",138

"Snow-fi","A Festive Evening",95

"Snow-fi","A Holiday Walk",91

"Snow-fi","A Romantic Evening",75

"Snow-fi","Boring Relaxation",88

"Snow-fi","Chestnuts Roasting On An Open Fire",132

"Snow-fi","Christmas Time Is Here",172

"Snow-fi","Distant Snow",115

"Snow-fi","Gymnopedia",67

"Snow-fi","Ice Cave",91

"Snow-fi","Les Incompentant",107

"Snow-fi","Let It Snow",62

"Snow-fi","Melancholy Christmas",83

"Snow-fi","Memory Waltz",80

"Snow-fi","Piano Drift",71

"Snow-fi","Piano Festivities",183

"Snow-fi","Snow Fireside",149

"Snow-fi","White Christmas Wonderland",124

"Snow-fi","Winter Wonderland",112

"Snow-fi","Without A Love To Call My Own",80

"UZU","Last Christmas",155

"Wun Two","Mistletoe",136

"Yestalgia","Do You Believe In Santa Claus",161
