
Artist,Title,Length,

"2 Mello","Jet Set Classic (Interlude)",98

"311","Amber (Supa Dups Remix)",217

"Afterlife","Sunfish",292

"Ageless","Seven Breaths",245

"BadboE","One Of Those Days (Original Mix)",329

"Barrie Gledden","Golden Dusk",181

"Black Eyed Peas","Where is the Love (LEEX Remix)",326

"Bob Marley","Jammin (Kungs Remix)",225

"Bob Marley","Sun Is Shining (Yes King Remix) (HD)",319

"Bob Marley","Three Little Birds (Ricky Mears Remix)",227

"Bobby McFerrin","Don't Worry Be Happy (Notorious TRP Remix)",199

"BOJET","I'm Too Afraid To Fall In Love",150

"Boney M","Sunny",242

"C2C","Happy (feat. Derek Martin)",235

"Cake","Thrills",179

"Caravan Palace","About You (Feat Charles X)",229

"Cee Lo Green","Fuck You (Dan Clare Club Mix)",225

"Childish Gambino","Feels Like Summer",299

"DJ Jazzy Jeff & The Fresh Prince","Summertime (Still Summertime Remix)",327

"Eddy Grant","Electric Avenue (Matty Blades Remix)",230

"Engelwood","Crystal Dolphin",116

"Fatboy Slim","Gangster Tripping",320

"Fatboy Slim","Kalifornia",353

"Fatboy Slim","Soul Surfing",296

"Flavours","Austin Powers (Soul Bossa Nova)",379

"Forrest","Grandpop's Uke",247

"Forrest","My Room (ft Wizard Island)",201

"Forrest","Why Not Me (ft Biskwiq)",195

"Forrest","Your Soul (ft Biskwiq)",178

"Fort Knox Five","The Brazilian Hipster",242

"Foster The People","Dont Stop (Color On The Walls)",175

"Foster the People","Pumped Up Kicks (Dubdogz and Joy Corporation Remix)",375

"Gomez","Machismo",215

"Gorillaz","19 2000 (Soulchild Remix)",202

"Gorillaz","Humility",201

"Gorillaz","To Binge",236

"Graffiti 6","Stare Into The Sun",240

"Gramatik","Eternal Love Yet So Evasive",414

"Gramatik","Portorose In July",271

"Gramatik","Spoiler Alert",155

"Gramatik","Walkin' Down The Street",209

"GRiZ","A Fine Way To Die (feat Orlando Napier)",401

"J Boogie","Oceanic Lullaby",277

"Jason Mraz","Im Yours (KIWIK Remix)",265

"Jboi Beatz","Beautiful Day (U2 Remix)",190

"Jeff Kaale","Mai Tai",167

"John Denver","Take Me Home, Country Roads (Surfhouse Remix)",237

"Jou Beats","Brasil",124

"Jurassic 5","Canto De Ossanha",260

"Klint","Diamond",211

"Lana Del Rey","Doin Time",202

"Len","Steal My Sunshine",227

"Lenny Kravitz","Fly Away (Realcy Reggae Remix)",198

"Lounge Cafe","Santa Maria",360

"Marlena Shaw","California Soul (Diplo Remix)",247

"MIA","Paper Planes (DFA Remix)",351

"Nickelback","Rockstar (The Captain Tez Reggae Remix)",268

"O'Jays","Love Train (KRTSZ Remix)",257

"OK Go","I Won't Let You Down",235

"Otis Redding","Sittin On The Dock Of The Bay (TEEMID Edit)",233

"Ours Samplus","Like The Sunshine",265

"Portugal. The Man","Feel It Still",163

"Post Malone, Swae Lee","Sunflower (Not Your Dope Remix)",243

"Quantic","Transalantic",284

"Queen vs Wheezer vs Joan Jett","We Love to Rock Beverly Hills",215

"Question","Osanha",158

"Rascal Flatts","Life Is A Highway (Jesse Bloch Bootleg)",231

"B-52's vs Felix da Housecat vs Fatboy Slim","Rockafeller Rocket Shack",318

"Saib","Gentle Breeze",260

"Saib","Sao Paulo Sunset",213

"Saib","Space Cowboy",173

"Santana","Smooth (We The People Remix) (feat. Rob Thomas)",241

"Session Victim","Good Intentions",365

"Skeewiff","Nitty Gritty",225

"Skeewiff","No Puede Esperar",249

"Skeewiff","Soul Bossanova",356

"Smash Mouth","Hot",151

"Smash Mouth","Walkin On The Sun (Fluxx Remix)",389

"Soulavenue","Cidade Sol",220

"Spin Doctors","Two Princes (Mark Roberts Ultimix)",351

"Steezy Prime","Journey",110

"Sublime","Doin Time (Kinetik Groove Remix)",190

"Sublime","Doin Time (Voodoo Farm Remix)",294

"Sublime","What I Got (Jakzon Bootleg Remix)",238

"Sugar Ray","Every Morning (Tripmix Remix)",315

"Sugar Ray","Fly (P-80 GhettoFunk Bootleg)",348

"Sugar Ray","Fly Featuring Super Cat (Jonn TriLLvolta Remix)",232

"Sugar Rocket","Only For Your Eyes",104

"Surfaces","Palm Trees",260

"The Derevolutions","Bad King Kong",392

"The Knocks","Classic (feat Powers)",249

"Tim Tim","Rum N Coca Cola",176

"TJR","Funky Vodka (Original Mix)",364

"Ugly Duckling","A Little Samba",201

"Vinnie Manischalo","TaKillYa",225

"Weezer","Island In The Sun (Deep Phase Remix)",213

"Yukari Fresh","Napoli",186
